id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
20872145,80.0,8.0,10.0,10.0,8.0,8.0,8.0
13937181,97.0,10.0,10.0,10.0,10.0,9.0,10.0
3575220,96.0,10.0,10.0,10.0,10.0,9.0,9.0
17419858,92.0,10.0,8.0,10.0,10.0,9.0,10.0
18202496,100.0,10.0,10.0,10.0,10.0,9.0,10.0
16987125,92.0,10.0,10.0,10.0,10.0,9.0,9.0
1668313,95.0,9.0,10.0,10.0,10.0,9.0,9.0
13768853,96.0,10.0,10.0,10.0,10.0,10.0,10.0
19248168,98.0,10.0,10.0,10.0,10.0,9.0,10.0
849408,95.0,10.0,10.0,10.0,10.0,9.0,9.0
12386020,100.0,10.0,10.0,10.0,10.0,9.0,10.0
225979,96.0,10.0,10.0,10.0,10.0,9.0,10.0
225834,98.0,10.0,10.0,10.0,10.0,9.0,9.0
3420384,100.0,10.0,10.0,10.0,10.0,10.0,10.0
20902319,100.0,10.0,10.0,10.0,10.0,10.0,10.0
8548176,90.0,10.0,10.0,10.0,9.0,9.0,9.0
20649310,100.0,10.0,10.0,10.0,10.0,10.0,10.0
753446,97.0,10.0,10.0,10.0,10.0,9.0,10.0
7651065,99.0,10.0,10.0,10.0,10.0,9.0,10.0
5884429,96.0,10.0,10.0,10.0,10.0,9.0,10.0
12535687,100.0,10.0,10.0,10.0,10.0,10.0,10.0
7093109,99.0,10.0,10.0,10.0,10.0,9.0,9.0
15954650,93.0,9.0,10.0,10.0,10.0,9.0,8.0
20673030,100.0,10.0,10.0,10.0,10.0,10.0,10.0
12023024,92.0,9.0,9.0,9.0,9.0,9.0,9.0
4461111,97.0,9.0,10.0,10.0,9.0,9.0,9.0
7252607,97.0,9.0,10.0,10.0,9.0,8.0,10.0
13547301,99.0,10.0,10.0,10.0,10.0,9.0,10.0
5434353,95.0,10.0,10.0,10.0,10.0,10.0,9.0
2583074,99.0,10.0,10.0,10.0,10.0,9.0,10.0
9218312,99.0,10.0,10.0,10.0,10.0,10.0,10.0
17574145,99.0,10.0,10.0,10.0,10.0,10.0,10.0
14690527,90.0,10.0,9.0,10.0,10.0,10.0,10.0
18016452,98.0,10.0,10.0,10.0,10.0,9.0,10.0
19212437,96.0,9.0,10.0,10.0,10.0,10.0,9.0
6400432,88.0,9.0,9.0,9.0,10.0,9.0,10.0
15935306,96.0,9.0,9.0,10.0,10.0,10.0,10.0
19965562,100.0,10.0,10.0,10.0,10.0,10.0,10.0
5498472,100.0,10.0,10.0,10.0,10.0,10.0,10.0
894539,97.0,10.0,10.0,10.0,10.0,9.0,10.0
1861070,97.0,10.0,10.0,10.0,10.0,10.0,10.0
6513924,94.0,10.0,9.0,10.0,10.0,9.0,9.0
7086825,98.0,9.0,9.0,10.0,10.0,9.0,10.0
19702475,90.0,9.0,10.0,10.0,9.0,9.0,10.0
3075044,95.0,10.0,9.0,10.0,10.0,9.0,10.0
9380145,100.0,10.0,10.0,10.0,10.0,10.0,10.0
19914995,100.0,10.0,10.0,10.0,10.0,8.0,8.0
6069883,98.0,10.0,10.0,10.0,10.0,8.0,9.0
1810172,96.0,10.0,9.0,10.0,10.0,9.0,10.0
4922204,95.0,10.0,10.0,10.0,10.0,10.0,9.0
6976,99.0,10.0,10.0,10.0,10.0,9.0,10.0
4085362,96.0,10.0,10.0,10.0,10.0,10.0,10.0
18175604,98.0,10.0,10.0,10.0,10.0,9.0,10.0
18388452,83.0,9.0,9.0,10.0,10.0,9.0,10.0
5706985,89.0,10.0,10.0,10.0,10.0,9.0,9.0
15193504,96.0,10.0,10.0,10.0,10.0,9.0,9.0
21107821,100.0,10.0,10.0,10.0,10.0,10.0,10.0
15864923,91.0,8.0,9.0,10.0,10.0,9.0,9.0
1724900,92.0,10.0,10.0,10.0,10.0,9.0,9.0
16272709,93.0,10.0,10.0,9.0,9.0,9.0,9.0
18181482,78.0,9.0,9.0,9.0,9.0,8.0,7.0
17382859,93.0,9.0,10.0,9.0,10.0,9.0,10.0
3968797,98.0,10.0,10.0,10.0,10.0,9.0,10.0
1494726,94.0,10.0,10.0,10.0,10.0,10.0,10.0
3755609,97.0,10.0,9.0,10.0,10.0,9.0,9.0
15099163,100.0,10.0,10.0,10.0,10.0,9.0,10.0
18254869,100.0,10.0,9.0,10.0,10.0,10.0,10.0
15616726,99.0,10.0,10.0,10.0,10.0,9.0,10.0
19991354,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3229255,98.0,10.0,10.0,10.0,10.0,10.0,10.0
18194673,98.0,10.0,10.0,10.0,10.0,9.0,10.0
18580155,90.0,9.0,9.0,9.0,9.0,9.0,9.0
1721016,97.0,10.0,10.0,10.0,10.0,10.0,10.0
19327752,95.0,10.0,9.0,10.0,10.0,9.0,9.0
12927298,97.0,10.0,10.0,10.0,10.0,8.0,8.0
18790023,97.0,10.0,10.0,10.0,10.0,9.0,10.0
7482195,80.0,10.0,10.0,10.0,6.0,6.0,8.0
6603827,100.0,10.0,10.0,10.0,10.0,9.0,10.0
16172058,96.0,10.0,10.0,10.0,10.0,9.0,10.0
2843445,97.0,10.0,10.0,10.0,10.0,10.0,10.0
16892278,100.0,10.0,10.0,10.0,10.0,9.0,10.0
40601,99.0,10.0,10.0,10.0,10.0,10.0,10.0
20406376,93.0,10.0,9.0,10.0,9.0,9.0,10.0
19102964,100.0,10.0,10.0,10.0,10.0,10.0,10.0
19294099,98.0,10.0,10.0,10.0,10.0,9.0,10.0
17843922,96.0,10.0,10.0,10.0,10.0,9.0,10.0
2798787,99.0,10.0,10.0,10.0,10.0,9.0,10.0
2295530,99.0,10.0,10.0,10.0,10.0,10.0,10.0
17476391,100.0,10.0,10.0,10.0,10.0,10.0,10.0
16125278,92.0,9.0,9.0,9.0,10.0,9.0,9.0
2698996,98.0,10.0,10.0,10.0,10.0,10.0,10.0
14868545,93.0,10.0,9.0,10.0,10.0,9.0,9.0
6248970,97.0,10.0,10.0,10.0,10.0,9.0,10.0
20015244,98.0,10.0,10.0,10.0,10.0,10.0,10.0
19103076,100.0,10.0,10.0,10.0,10.0,9.0,10.0
10883063,96.0,10.0,10.0,10.0,10.0,9.0,10.0
4015972,95.0,10.0,9.0,10.0,10.0,9.0,10.0
18802946,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6238463,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4586681,99.0,10.0,10.0,10.0,10.0,10.0,10.0
6730758,97.0,10.0,10.0,10.0,10.0,10.0,10.0
12855343,98.0,10.0,10.0,10.0,10.0,10.0,10.0
10253591,93.0,9.0,9.0,10.0,10.0,10.0,9.0
15149497,97.0,10.0,10.0,10.0,10.0,10.0,9.0
19102461,98.0,10.0,10.0,10.0,10.0,10.0,10.0
12874603,74.0,9.0,8.0,9.0,8.0,8.0,9.0
8272350,100.0,10.0,10.0,10.0,10.0,10.0,10.0
12824498,90.0,9.0,7.0,9.0,10.0,10.0,9.0
12789527,90.0,8.0,10.0,10.0,10.0,10.0,10.0
5025015,87.0,9.0,9.0,9.0,9.0,8.0,9.0
6602217,91.0,9.0,10.0,10.0,10.0,9.0,9.0
4149974,97.0,10.0,10.0,10.0,10.0,10.0,9.0
20623854,80.0,10.0,9.0,10.0,9.0,9.0,9.0
7910223,96.0,10.0,10.0,10.0,10.0,9.0,9.0
2963419,98.0,10.0,10.0,10.0,10.0,10.0,10.0
6602167,93.0,10.0,10.0,10.0,10.0,9.0,9.0
20053362,100.0,10.0,10.0,10.0,10.0,9.0,10.0
8354938,92.0,10.0,10.0,10.0,10.0,8.0,9.0
1109224,93.0,10.0,9.0,10.0,10.0,9.0,9.0
17451062,99.0,10.0,10.0,10.0,10.0,10.0,10.0
20050570,100.0,10.0,10.0,10.0,10.0,8.0,8.0
2621242,97.0,10.0,10.0,9.0,9.0,10.0,10.0
554720,95.0,10.0,10.0,10.0,10.0,10.0,9.0
14057466,98.0,10.0,10.0,10.0,10.0,10.0,10.0
17710012,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2880944,100.0,10.0,10.0,10.0,10.0,10.0,10.0
19545217,99.0,10.0,10.0,10.0,10.0,10.0,10.0
17838605,97.0,10.0,9.0,10.0,10.0,9.0,9.0
13513012,99.0,10.0,10.0,10.0,10.0,10.0,10.0
19430766,91.0,10.0,9.0,10.0,10.0,9.0,9.0
20885932,100.0,10.0,10.0,10.0,10.0,9.0,9.0
19911540,91.0,9.0,9.0,10.0,10.0,10.0,9.0
1881298,95.0,10.0,10.0,10.0,10.0,9.0,10.0
20639600,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1030500,89.0,9.0,9.0,10.0,10.0,8.0,9.0
15432250,98.0,10.0,9.0,10.0,10.0,10.0,10.0
11826815,99.0,10.0,10.0,10.0,10.0,10.0,10.0
2014651,91.0,10.0,9.0,10.0,10.0,9.0,9.0
519272,98.0,10.0,10.0,10.0,10.0,10.0,10.0
12566065,84.0,10.0,8.0,10.0,10.0,8.0,8.0
732932,95.0,10.0,10.0,10.0,10.0,9.0,10.0
14105971,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1113272,95.0,10.0,10.0,10.0,10.0,9.0,9.0
10059572,100.0,10.0,10.0,9.0,10.0,10.0,10.0
4567815,96.0,10.0,10.0,9.0,10.0,9.0,10.0
6106955,96.0,10.0,10.0,10.0,10.0,10.0,10.0
19328794,91.0,9.0,9.0,10.0,10.0,10.0,9.0
14531631,100.0,10.0,10.0,10.0,10.0,9.0,10.0
12368012,80.0,8.0,8.0,10.0,10.0,8.0,8.0
17296595,96.0,10.0,10.0,10.0,10.0,10.0,9.0
7273770,88.0,10.0,8.0,10.0,10.0,10.0,9.0
14909417,95.0,10.0,9.0,10.0,9.0,9.0,10.0
3881993,88.0,9.0,8.0,9.0,9.0,9.0,8.0
12071820,94.0,10.0,9.0,10.0,10.0,10.0,9.0
17675806,100.0,10.0,10.0,10.0,10.0,8.0,10.0
16282250,88.0,9.0,10.0,10.0,9.0,9.0,8.0
735970,100.0,10.0,9.0,9.0,9.0,10.0,10.0
950046,90.0,9.0,10.0,9.0,10.0,10.0,10.0
3342094,97.0,10.0,10.0,10.0,10.0,10.0,9.0
3593290,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3997572,96.0,10.0,10.0,10.0,10.0,10.0,10.0
15869937,100.0,10.0,10.0,10.0,10.0,10.0,10.0
14549157,100.0,10.0,10.0,10.0,10.0,10.0,10.0
14991616,100.0,10.0,8.0,10.0,10.0,10.0,10.0
447826,96.0,9.0,9.0,10.0,10.0,10.0,10.0
5521378,94.0,10.0,9.0,10.0,10.0,9.0,9.0
15581154,90.0,9.0,9.0,9.0,9.0,10.0,9.0
4000384,98.0,10.0,10.0,10.0,10.0,9.0,10.0
9485607,97.0,10.0,10.0,10.0,10.0,10.0,10.0
18857626,80.0,10.0,6.0,10.0,10.0,10.0,10.0
18873614,99.0,10.0,10.0,10.0,10.0,10.0,10.0
18358140,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3079305,97.0,10.0,10.0,10.0,10.0,10.0,10.0
7287822,98.0,10.0,10.0,10.0,10.0,10.0,10.0
10271867,90.0,10.0,8.0,10.0,10.0,9.0,9.0
7879708,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9057435,96.0,10.0,10.0,10.0,10.0,10.0,10.0
5601743,88.0,9.0,8.0,9.0,9.0,9.0,9.0
13334098,100.0,10.0,10.0,10.0,10.0,10.0,10.0
20035860,96.0,10.0,10.0,10.0,10.0,10.0,10.0
799701,100.0,10.0,10.0,9.0,10.0,9.0,9.0
4405982,99.0,10.0,10.0,10.0,10.0,10.0,10.0
20888247,100.0,9.0,10.0,10.0,10.0,9.0,10.0
7708436,97.0,10.0,10.0,10.0,10.0,10.0,10.0
14071446,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4765070,92.0,9.0,10.0,10.0,10.0,9.0,9.0
18955871,93.0,9.0,9.0,10.0,10.0,9.0,9.0
16119921,83.0,8.0,8.0,9.0,9.0,9.0,8.0
19346178,100.0,10.0,8.0,10.0,10.0,10.0,10.0
13344433,99.0,10.0,10.0,10.0,10.0,10.0,10.0
5652147,93.0,9.0,9.0,9.0,9.0,9.0,9.0
13865867,97.0,10.0,10.0,10.0,10.0,10.0,10.0
5212321,100.0,10.0,10.0,10.0,10.0,9.0,9.0
14086550,97.0,10.0,10.0,10.0,10.0,10.0,10.0
210097,97.0,10.0,10.0,10.0,10.0,10.0,10.0
9057418,100.0,9.0,10.0,10.0,10.0,10.0,10.0
594693,94.0,9.0,8.0,10.0,10.0,10.0,9.0
1929406,90.0,9.0,10.0,10.0,9.0,9.0,9.0
4583526,97.0,10.0,10.0,10.0,10.0,9.0,10.0
9137560,100.0,10.0,10.0,10.0,10.0,10.0,10.0
19361786,90.0,10.0,10.0,10.0,10.0,9.0,9.0
17772521,100.0,10.0,10.0,10.0,10.0,10.0,10.0
5124772,87.0,9.0,9.0,9.0,10.0,7.0,9.0
732999,97.0,10.0,10.0,10.0,10.0,10.0,10.0
8908145,90.0,10.0,10.0,10.0,10.0,10.0,9.0
4025194,97.0,10.0,9.0,10.0,10.0,9.0,10.0
18263612,86.0,9.0,9.0,10.0,10.0,8.0,9.0
20359898,100.0,10.0,10.0,10.0,10.0,9.0,10.0
8923817,91.0,9.0,10.0,10.0,9.0,10.0,9.0
9676551,96.0,10.0,10.0,10.0,10.0,10.0,10.0
6990904,93.0,9.0,9.0,10.0,9.0,9.0,9.0
3730447,90.0,9.0,9.0,10.0,10.0,9.0,9.0
568234,98.0,10.0,10.0,10.0,10.0,10.0,10.0
9549850,95.0,10.0,9.0,10.0,10.0,10.0,10.0
16362002,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9349646,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9349614,80.0,10.0,8.0,10.0,10.0,8.0,8.0
9590679,100.0,10.0,10.0,10.0,10.0,10.0,10.0
16494984,99.0,10.0,10.0,10.0,10.0,9.0,10.0
7956634,97.0,10.0,10.0,10.0,10.0,10.0,10.0
13363171,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4223387,91.0,10.0,10.0,10.0,10.0,9.0,9.0
14868157,99.0,10.0,10.0,10.0,10.0,10.0,10.0
10627514,88.0,9.0,8.0,10.0,10.0,9.0,9.0
20998585,93.0,10.0,9.0,10.0,10.0,9.0,10.0
12052288,98.0,10.0,10.0,10.0,10.0,10.0,10.0
9212213,91.0,9.0,8.0,10.0,10.0,10.0,9.0
1885825,96.0,10.0,10.0,10.0,10.0,10.0,10.0
9591772,100.0,10.0,10.0,10.0,10.0,10.0,10.0
17524373,91.0,10.0,10.0,10.0,10.0,9.0,10.0
1058448,100.0,10.0,10.0,10.0,10.0,10.0,10.0
26160,95.0,10.0,10.0,10.0,10.0,9.0,9.0
3156111,85.0,10.0,9.0,10.0,10.0,10.0,9.0
10004575,98.0,10.0,10.0,10.0,10.0,9.0,10.0
9575439,97.0,10.0,10.0,10.0,10.0,9.0,10.0
16132162,96.0,10.0,10.0,10.0,10.0,10.0,10.0
8720718,99.0,10.0,10.0,10.0,10.0,10.0,10.0
12888054,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6465075,97.0,10.0,10.0,10.0,10.0,9.0,9.0
10921540,100.0,10.0,10.0,10.0,10.0,10.0,10.0
