id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
7501081,100.0,10.0,10.0,10.0,10.0,9.0,9.0
764696,95.0,10.0,10.0,10.0,9.0,9.0,10.0
11645787,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1631158,80.0,6.0,6.0,6.0,10.0,10.0,10.0
2594894,90.0,8.0,10.0,10.0,10.0,8.0,10.0
10196511,90.0,10.0,10.0,10.0,10.0,9.0,9.0
3444963,94.0,10.0,10.0,10.0,10.0,9.0,10.0
4472754,100.0,8.0,10.0,8.0,10.0,4.0,10.0
1832930,94.0,10.0,9.0,10.0,10.0,9.0,10.0
9781868,94.0,9.0,9.0,10.0,10.0,9.0,9.0
8243114,90.0,8.0,8.0,10.0,10.0,8.0,9.0
14106659,100.0,10.0,10.0,10.0,10.0,8.0,10.0
8111570,85.0,9.0,9.0,9.0,10.0,9.0,9.0
772988,100.0,10.0,10.0,10.0,10.0,10.0,8.0
2357436,88.0,10.0,9.0,9.0,9.0,9.0,9.0
2528035,100.0,10.0,9.0,10.0,10.0,10.0,10.0
10401272,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9325824,80.0,8.0,9.0,9.0,9.0,9.0,8.0
4107870,90.0,10.0,10.0,10.0,10.0,10.0,10.0
5245884,95.0,9.0,9.0,10.0,10.0,10.0,10.0
3991195,97.0,10.0,10.0,10.0,10.0,10.0,9.0
13595965,80.0,10.0,10.0,8.0,8.0,10.0,10.0
13610948,60.0,9.0,6.0,6.0,7.0,9.0,7.0
6040946,100.0,10.0,10.0,10.0,10.0,10.0,10.0
6807651,94.0,10.0,9.0,10.0,10.0,10.0,9.0
463214,83.0,9.0,8.0,8.0,8.0,9.0,9.0
7639103,96.0,10.0,10.0,10.0,10.0,9.0,9.0
11305966,90.0,9.0,8.0,8.0,8.0,9.0,8.0
13665665,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9281385,67.0,7.0,6.0,9.0,6.0,5.0,6.0
4072666,83.0,9.0,9.0,8.0,10.0,9.0,7.0
1328558,90.0,9.0,8.0,10.0,10.0,10.0,8.0
10339383,60.0,8.0,8.0,10.0,10.0,8.0,6.0
2773078,84.0,8.0,8.0,8.0,8.0,9.0,9.0
9597503,50.0,8.0,3.0,7.0,10.0,10.0,6.0
14033824,80.0,10.0,10.0,10.0,10.0,10.0,10.0
1019390,96.0,9.0,9.0,9.0,10.0,10.0,9.0
1623124,89.0,9.0,9.0,10.0,10.0,9.0,9.0
6057444,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4704075,96.0,10.0,10.0,10.0,10.0,10.0,10.0
7653788,100.0,10.0,10.0,10.0,9.0,10.0,9.0
12213750,100.0,8.0,8.0,10.0,10.0,10.0,8.0
