ndcg@1>=0.00,ndcg@1>=0.60,ndcg@1>=0.80,ndcg@1>=1.00,relevance,objective,x
1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,2.0,2.0,2.0,2.0,1.0,2
1.5,2.9999999999999996,2.9999999999999996,2.9999999999999996,2.9999999999999996,1.5,3
1.0,4.0,4.0,4.0,4.0,1.0,4
1.75,5.0,5.0,5.0,5.0,1.75,5
1.5,5.999999999999999,5.999999999999999,5.999999999999999,5.999999999999999,1.5,6
1.75,7.0,7.0,7.0,7.0,1.75,7
1.0,8.0,8.0,8.0,8.0,1.0,8
1.875,9.0,9.0,9.0,9.0,1.875,9
1.75,10.0,10.0,10.0,10.0,1.75,10
2.125,10.999999999999998,10.999999999999998,10.999999999999998,10.999999999999998,2.125,11
1.5,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,1.5,12
2.125,13.000000000000002,13.000000000000002,13.000000000000002,13.000000000000002,2.125,13
1.75,14.0,14.0,14.0,14.0,1.75,14
1.875,15.0,15.0,15.0,15.0,1.875,15
1.0,16.0,16.0,16.0,16.0,1.0,16
1.9375,17.0,17.0,17.0,17.0,1.9375,17
1.875,18.0,18.0,18.0,18.0,1.875,18
2.3125,19.0,19.0,19.0,19.0,2.3125,19
1.75,20.0,20.0,20.0,20.0,1.75,20
2.4375,21.0,21.0,21.0,21.0,2.4375,21
2.125,21.999999999999996,21.999999999999996,21.999999999999996,21.999999999999996,2.125,22
2.3125,22.999999999999996,22.999999999999996,22.999999999999996,22.999999999999996,2.3125,23
1.5,23.999999999999996,23.999999999999996,23.999999999999996,23.999999999999996,1.5,24
2.3125,25.0,25.0,25.0,25.0,2.3125,25
2.125,26.000000000000004,26.000000000000004,26.000000000000004,26.000000000000004,2.125,26
2.4375,27.0,27.0,27.0,27.0,2.4375,27
1.75,28.0,28.0,28.0,28.0,1.75,28
2.3125,29.000000000000004,29.000000000000004,29.000000000000004,29.000000000000004,2.3125,29
1.875,30.0,30.0,30.0,30.0,1.875,30
1.9375,31.0,31.0,31.0,31.0,1.9375,31
1.0,32.0,32.0,32.0,32.0,1.0,32
1.96875,32.99999999999999,32.99999999999999,32.99999999999999,32.99999999999999,1.96875,33
1.9375,34.0,34.0,34.0,34.0,1.9375,34
2.40625,35.00000000000001,35.00000000000001,35.00000000000001,35.00000000000001,2.40625,35
1.875,36.0,36.0,36.0,36.0,1.875,36
2.59375,37.0,37.0,37.0,37.0,2.59375,37
2.3125,38.0,38.0,38.0,38.0,2.3125,38
2.53125,39.00000000000001,39.00000000000001,39.00000000000001,39.00000000000001,2.53125,39
1.75,40.0,40.0,40.0,40.0,1.75,40
2.59375,41.0,41.0,41.0,41.0,2.59375,41
2.4375,42.0,42.0,42.0,42.0,2.4375,42
2.78125,43.0,43.0,43.0,43.0,2.78125,43
2.125,43.99999999999999,43.99999999999999,43.99999999999999,43.99999999999999,2.125,44
2.71875,44.99999999999999,44.99999999999999,44.99999999999999,44.99999999999999,2.71875,45
2.3125,45.99999999999999,45.99999999999999,45.99999999999999,45.99999999999999,2.3125,46
2.40625,47.0,47.0,47.0,47.0,2.40625,47
1.5,47.99999999999999,47.99999999999999,47.99999999999999,47.99999999999999,1.5,48
2.40625,48.99999999999999,48.99999999999999,48.99999999999999,48.99999999999999,2.40625,49
2.3125,50.0,50.0,50.0,50.0,2.3125,50
2.71875,51.00000000000001,51.00000000000001,51.00000000000001,51.00000000000001,2.71875,51
2.125,52.00000000000001,52.00000000000001,52.00000000000001,52.00000000000001,2.125,52
2.78125,53.0,53.0,53.0,53.0,2.78125,53
2.4375,54.0,54.0,54.0,54.0,2.4375,54
2.59375,55.0,55.0,55.0,55.0,2.59375,55
1.7499999999999998,56.0,56.0,56.0,56.0,1.7499999999999998,56
2.53125,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,2.53125,57
2.3125,58.00000000000001,58.00000000000001,58.00000000000001,58.00000000000001,2.3125,58
2.59375,59.0,59.0,59.0,59.0,2.59375,59
1.875,60.0,60.0,60.0,60.0,1.875,60
2.40625,60.99999999999999,60.99999999999999,60.99999999999999,60.99999999999999,2.40625,61
1.9375,62.0,62.0,62.0,62.0,1.9375,62
1.96875,63.0,63.0,63.0,63.0,1.96875,63
1.0,64.0,64.0,64.0,64.0,1.0,64
1.984375,65.0,65.0,65.0,65.0,1.984375,65
1.96875,65.99999999999999,65.99999999999999,65.99999999999999,65.99999999999999,1.96875,66
2.453125,67.0,67.0,67.0,67.0,2.453125,67
1.9375,68.0,68.0,68.0,68.0,1.9375,68
2.671875,69.0,69.0,69.0,69.0,2.671875,69
